Start Node,Algorithm,Suggested Products,Time to Suggest
11801,DFS,|8381||11519||11994||11995||97433||62415||34190||44042||16908||106790|||,0.014008522033691406
11801,RFS,|8381||11519||11994||11995||44042||97433||34190||62415||16908||106790|||,0.017013072967529297
12001,BFS,|27379||27380||47839||90118||46814||39890||30202||61083||81575||86524|||,0.0009999275207519531
12001,DFS,|27379||46814||47839||27380||90118||61462||71313||86524||86047||39890|||,0.002001523971557617
12001,RFS,|27379||27380||47839||90118||46814||39890||30202||61083||81575||86524|||,0.0020012855529785156
12201,BFS,|45556||89146||32752||93738||70755||129565||57905||78986||14214||16424|||,0.04903459548950195
12201,DFS,|45556||89146||32752||93738||70755||129565||78986||57905||16424||107294|||,0.07805538177490234
12201,RFS,|45556||89146||32752||93738||70755||129565||57905||78986||14214||16424|||,0.05804157257080078
12401,BFS,|26883||18656||66987||42116||29182||71347||25504||25112||22750||56761|||,0.1771233081817627
12401,DFS,|18656||68891||22750||118871||122043||96136||18657||70755||98227||27385|||,0.07705378532409668
12401,RFS,|43543||26883||18656||29182||45614||25504||25112||68891||22750||118871|||,0.14910626411437988
12601,BFS,|59700||20295||40706||41288||49148||41718||37956||12602||12603||58088|||,0.06104278564453125
12601,DFS,|59700||20295||40706||41288||49148||41718||37956||12603||65665||43045|||,0.07105040550231934
12601,RFS,|59700||20295||40706||41288||41718||49148||37956||12603||12602||36314|||,0.06404519081115723
12801,BFS,|34977||120426||40979||69711||127415||128521||105664||120040||120041||19362|||,0.0
12801,DFS,|34977||69711||105664||120040||120041||40979||128521||127415||120426||70498|||,0.0
12801,RFS,|34977||40979||120426||69711||105664||127415||128521||120040||120041||19362|||,0.0
13401,BFS,|74039||14519||53890||74708||70173||65405||71512||74457||76265||22529|||,0.021015644073486328
13401,DFS,|74039||14519||53890||74708||70173||65405||71512||74457||22529||57968|||,0.028022050857543945
13401,RFS,|74039||14519||53890||74708||70173||65405||71512||74457||76265||22529|||,0.03002023696899414
13601,BFS,|37428||20506||77058||74784||87257||37429||89480||13838||20404||80244|||,0.010006427764892578
13601,DFS,|37428||20506||77058||74784||87257||37429||89480||13838||80244||20404|||,0.012008428573608398
13601,RFS,|37428||20506||77058||74784||87257||37429||89480||13838||20404||80244|||,0.011009454727172852
13801,BFS,|20390||47032||54335||73916||133206||86552||44342||54336||42406||65510|||,0.10407185554504395
13801,DFS,|20390||47032||54335||73916||86552||54336||44342||65510||42406||104842|||,0.10407423973083496
13801,RFS,|20390||47032||54335||73916||44342||54336||42406||65510||46019||78018|||,0.14410138130187988
14201,BFS,|45614||41348||112498||72928||45613||83610||48001||45500||45501||83923|||,0.010007381439208984
14201,DFS,|45614||41348||112498||72928||45613||48001||83610||110641||83923||45501|||,0.008007287979125977
14201,RFS,|45614||41348||112498||72928||45613||83610||48001||83923||45500||110641|||,0.0070037841796875
14401,BFS,|73523||57552||82830||117464||82831||41181||134608||82828||82829||41182|||,0.0
14401,DFS,|73523||117464||82830||57552||82831||41181||82829||82828||134608||41182|||,0.0
14401,RFS,|73523||57552||82830||117464||82831||41181||82828||134608||82829||41182|||,0.001001119613647461
15201,BFS,|54241||34748||53143||74039||66295||26886||53890||113814||111790||15560|||,0.09306669235229492
15201,DFS,|54241||53143||74039||26886||111790||113814||53890||15560||48869||50255|||,0.07104897499084473
15201,RFS,|54241||34748||53143||74039||66295||26886||113814||53890||111790||15560|||,0.07705426216125488
15601,BFS,|77427||84083||105560||77152||129278||84572||71247||133202||102677||104453|||,0.05103588104248047
15601,DFS,|77427||84083||105560||77152||129278||84572||71247||102677||104453||133202|||,0.03902912139892578
15601,RFS,|77427||84083||105560||77152||129278||84572||71247||133202||104453||102677|||,0.04102683067321777
15801,BFS,|27233||114684||23541||46601||46834||46602||19928||15803||32803||46787|||,0.009003639221191406
15801,DFS,|27233||114684||46834||23541||46601||46602||19928||32803||64557||46787|||,0.02201390266418457
15801,RFS,|27233||114684||23541||46601||46834||46602||19928||15803||32803||46787|||,0.01900935173034668
16001,BFS,|26883||59700||41288||89632||37956||43045||30746||73238||23225||23226|||,0.02801823616027832
16001,DFS,|26883||59700||41288||89632||37956||43045||30746||73238||23226||107294|||,0.022015810012817383
16001,RFS,|26883||59700||41288||89632||37956||43045||30746||73238||23226||23225|||,0.01801300048828125
16201,BFS,|95636||30630||100179||34247||67264||101769||90224||30631||86136||64853|||,0.0030014514923095703
16201,DFS,|95636||30630||100179||34247||67264||101769||90224||86136||30631||36319|||,0.0020020008087158203
16201,RFS,|95636||30630||100179||34247||67264||101769||90224||30631||86136||64853|||,0.003002166748046875
16401,BFS,|47545||22405||22406||21257||52086||23385||33592||97005||97006||52085|||,0.003002166748046875
16401,DFS,|47545||22405||22406||21257||52086||23385||97006||97005||33592||53074|||,0.002001523971557617
16401,RFS,|47545||22405||22406||21257||52086||97006||33592||23385||97005||53074|||,0.00400233268737793
16601,BFS,|34748||20157||47832||55970||78106||27645||20158||29552||52332||37043|||,0.034024715423583984
16601,DFS,|34748||20157||47832||55970||78106||27645||20158||52332||29552||37043|||,0.03903365135192871
16601,RFS,|34748||20157||47832||55970||78106||27645||20158||52332||29552||37043|||,0.07405257225036621
17001,BFS,|42215||74881||40144||24228||24227||36150||56542||48440||90887||40146|||,0.008998632431030273
17001,DFS,|42215||74881||40144||24228||90887||48440||56542||24227||36150||47115|||,0.007004976272583008
17001,RFS,|42215||74881||40144||24228||24227||56542||36150||48440||90887||47115|||,0.002001047134399414
17201,BFS,|46073||45484||59590||64624||87836||64097||59591||70932||84320||21266|||,0.15410995483398438
17201,DFS,|64624||84320||70932||133206||21266||64173||60353||47631||17565||52072|||,0.06904768943786621
17201,RFS,|46073||45484||59590||64624||87836||64097||59591||70932||21266||58372|||,0.0860590934753418
17401,BFS,|40099||39554||34668||39556||40098||28746||72887||39555||83343||28745|||,0.0010006427764892578
17401,DFS,|40099||40098||39556||39554||34668||28746||39555||83343||72887||78667|||,0.0010006427764892578
17401,RFS,|40099||39554||39556||34668||40098||28746||39555||83343||72887||132969|||,0.0010001659393310547
18001,BFS,|43481||78830||57968||69347||49695||68222||68223||10300||97607||106737|||,0.0009992122650146484
18001,DFS,|43481||78830||57968||69347||68223||68222||49695||10300||106737||97607|||,0.0
18001,RFS,|43481||78830||57968||69347||68222||68223||49695||10300||106737||97607|||,0.0010008811950683594
18201,BFS,|44336||30602||45212||63448||61401||20978||22896||90118||140287||20977|||,0.0030019283294677734
18201,DFS,|44336||30602||63448||45212||61401||20978||22896||140287||90118||146955|||,0.0020041465759277344
18201,RFS,|44336||30602||63448||45212||61401||20978||22896||90118||140287||20977|||,0.0030012130737304688
18401,BFS,|40930||85250||91730||27672||75192||104668||40280||33966||107469||80453|||,0.15110492706298828
18401,DFS,|40930||91730||27672||75192||104668||40280||33966||106730||94044||102424|||,0.0620419979095459
18401,RFS,|40930||27672||104668||40280||33966||80453||61243||106730||66971||59413|||,0.09406709671020508
18601,BFS,|41265||134157||66864||134156||18602||18603||147847||30145||151327||151328|||,0.0
18601,DFS,|41265||134157||66864||134156||18603||30145||151327||151329||151328||18602|||,0.0010001659393310547
18601,RFS,|41265||134157||66864||134156||18603||18602||30145||151327||151329||147847|||,0.0
18801,BFS,|25050||26921||49706||81540||39484||25051||33501||62035||62036||136210|||,0.0010030269622802734
18801,DFS,|25050||81540||49706||26921||39484||136210||131838||137091||78048||62036|||,0.0009989738464355469
18801,RFS,|25050||26921||81540||49706||39484||136210||25051||78048||33501||131838|||,0.0
19001,BFS,|50321||56966||55024||88711||57644||28270||33846||105418||89103||90711|||,0.13009142875671387
19001,DFS,|50321||91730||57644||28270||120580||106730||46490||88856||70659||28269|||,0.06704831123352051
19001,RFS,|56966||77119||55024||88711||28270||33846||105418||120580||55055||80927|||,0.1080772876739502
19201,BFS,|125772||101084||125771||125773||125774||31269||73271||73272||73273||125770|||,0.0010004043579101562
